iter	Accuracy	MultiClass
359	0.995	0.2692806779
360	0.995	0.2685811683
361	0.995	0.2678563519
362	0.995	0.2673158073
363	0.995	0.2663992461
364	0.995	0.2657524146
365	0.995	0.2650785927
366	0.995	0.2642412474
367	0.995	0.2637780292
368	0.995	0.2630434573
369	0.995	0.262427151
370	0.995	0.2613917175
371	0.995	0.2611524124
372	0.995	0.260631178
373	0.995	0.2598780947
374	0.995	0.2594378154
375	0.995	0.2587589521
376	0.995	0.2583238184
377	0.995	0.2577071473
378	0.995	0.2572822104
379	0.995	0.2566631294
380	0.995	0.2564308296
381	0.995	0.2557776673
382	0.995	0.2549615828
383	0.995	0.2541807094
384	1	0.2534503519
385	1	0.252695253
386	1	0.2518127227
387	1	0.2509494355
388	0.995	0.2505233511
389	0.995	0.2500614068
390	0.995	0.2496184604
391	0.995	0.2492375399
392	0.995	0.2485107426
393	0.995	0.2479120142
394	0.995	0.2474983287
395	0.995	0.2466975732
396	1	0.2461146991
397	1	0.2453690195
398	0.995	0.2444969614
399	0.995	0.2440900863
400	0.995	0.2435659262
401	0.995	0.2430537842
402	0.995	0.2425800745
403	1	0.2418945668
404	0.995	0.2415539571
405	1	0.2410796499
406	1	0.2407266732
407	1	0.2402500411
408	1	0.2395011386
409	1	0.2387378068
410	1	0.2383610386
411	1	0.237963809
412	1	0.2374028573
413	1	0.2368168655
414	1	0.2363239806
415	1	0.2358205812
416	1	0.2351671419
417	1	0.2346526611
418	1	0.2342671062
419	1	0.2338397662
420	1	0.2334611455
421	1	0.2329357588
422	1	0.232358884
423	1	0.2316208391
424	1	0.2310023239
425	1	0.2305871543
426	1	0.2298137992
427	1	0.2294988549
428	1	0.2292006737
429	1	0.2288279664
430	1	0.2283642449
431	1	0.2280259301
432	1	0.2276055214
433	1	0.2272131876
434	1	0.2270058428
435	1	0.2262876784
436	1	0.2258165252
437	1	0.2250762483
438	1	0.2246727322
439	1	0.2242299374
440	1	0.2238248179
441	1	0.2234479792
442	1	0.2231020952
443	1	0.2223073332
444	1	0.2217855812
445	1	0.2213282449
446	1	0.2208324748
447	1	0.2204774734
448	1	0.2201089538
449	1	0.2195697712
450	1	0.2191735753
451	1	0.2187668094
452	1	0.2181925164
453	1	0.2179569635
454	1	0.2177265707
455	1	0.2170526458
456	1	0.2165980627
457	1	0.2161752504
458	1	0.2154739474
459	1	0.2149807338
460	1	0.2143586991
461	1	0.2138461178
462	1	0.213449517
463	1	0.2130824755
464	1	0.2126377558
465	1	0.2121695414
466	1	0.2116547429
467	1	0.2112099671
468	1	0.2107551555
469	1	0.2103462348
470	1	0.2098723179
471	1	0.2096245705
472	1	0.2093200887
473	1	0.2089353515
474	1	0.2085465236
475	1	0.2081147322
476	1	0.2076346059
477	1	0.2072391891
478	1	0.2066483865
479	1	0.2063817911
480	1	0.2059483855
481	1	0.2054291549
482	1	0.2047472925
483	1	0.2042307374
484	1	0.2037582835
485	1	0.2034377664
486	1	0.2032122378
487	1	0.2027553707
488	1	0.2025229587
489	1	0.2021382046
490	1	0.2019199111
491	1	0.2015427479
492	1	0.2010902733
493	1	0.2006503127
494	1	0.2001610463
495	1	0.1994496843
496	1	0.1990495982
497	1	0.1986758972
498	1	0.1981916174
499	1	0.1978465277
500	1	0.1975162575
501	1	0.197013631
502	1	0.1966660166
503	1	0.1963661481
504	1	0.1958216543
505	1	0.1954529474
506	1	0.1949402981
507	1	0.1943569704
508	1	0.1939914808
509	1	0.1934598859
510	1	0.1930055487
511	1	0.1928015074
512	1	0.1924861766
513	1	0.1922679079
514	1	0.1918495308
515	1	0.1914295836
516	1	0.1909358952
517	1	0.1906422458
518	1	0.1903319722
519	1	0.1900928005
520	1	0.1896658629
521	1	0.1892057955
522	1	0.1889039669
523	1	0.1885137388
524	1	0.1882243282
525	1	0.1878397622
526	1	0.187333155
527	1	0.1869632616
528	1	0.1865515295
529	1	0.1863225066
530	1	0.1857759272
531	1	0.1853792071
532	1	0.1849903794
533	1	0.1846438311
534	1	0.1843591469
535	1	0.1839110937
536	1	0.1834938962
537	1	0.1831600905
538	1	0.1827605861
539	1	0.182376715
